序號,商品名稱,分類,平台,價格,銷量,評分,連結狀態,備註
1,BIODANCE Bio-Collagen Real Deep Mask,美妝保養,Amazon,$19.00,100K+,4.4/5,待更新,韓國膠原蛋白面膜
2,Dr.Althea 345 Relief Cream,美妝保養,Amazon,$26.50,80K+,4.6/5,待更新,PDRN舒緩修護霜
3,medicube Toner Pads Zero Pore,美妝保養,Amazon,$28.24,100K+,4.6/5,待更新,AHA+BHA去角質化妝水墊
4,Anua 3-Step Glass Skin Set,美妝保養,Amazon,$45.00,40K+,4.5/5,待更新,韓國三步護膚組
5,NIKE AIR FORCE 1 07 男女款運動休閒鞋,穿搭,Shopee,$2520,7000+,未提供,待更新,經典款運動鞋
6,比奇堡居民搞怪中筒襪,穿搭,Shopee,$317,未提供,未提供,待更新,高分潤率22%
7,Orgain Organic Nutritional Protein Shake,減肥,Amazon,$48.00,8973評論,4.6/5,待更新,有機草飼乳清蛋白
8,SlimFast Meal Replacement Powder,減肥,Amazon,$12.82,15573評論,4.6/5,待更新,經典代餐品牌
9,Glucerna Diabetes Care Shake,減肥,Amazon,$44.96,13366評論,4.7/5,待更新,血糖管理專業配方
10,eos Shea Better Body Lotion,美妝保養,Amazon,$9.97,100K+,4.7/5,待更新,乳木果身體乳液
11,CeraVe Skin Renewing Night Cream,美妝保養,Amazon,$15.44,100K+,4.6/5,待更新,夜間保濕修護霜
12,e.l.f. SKIN Holy Hydration Kit,美妝保養,Amazon,$21.00,70K+,4.6/5,待更新,保濕套組旅行大小
